state,participation_2017,composite_2017,participation_2018,composite_2018,participation_2019,composite_2019
Alabama,100.0,19.2,100.0,19.1,100.0,18.9
Alaska,65.0,19.8,33.0,20.8,38.0,20.1
Arizona,62.0,19.7,66.0,19.2,73.0,19.0
Arkansas,100.0,19.4,100.0,19.4,100.0,19.3
California,31.0,22.8,27.0,22.7,23.0,22.6
Colorado,100.0,20.8,30.0,23.9,27.0,23.8
Connecticut,31.0,25.2,26.0,25.6,22.0,25.5
Delaware,18.0,24.1,17.0,23.8,13.0,24.1
District of Columbia,32.0,24.2,32.0,23.6,32.0,23.5
Florida,73.0,19.8,66.0,19.9,54.0,20.1
Georgia,55.0,21.4,53.0,21.4,49.0,21.4
Hawaii,90.0,19.0,89.0,18.9,80.0,19.0
Idaho,38.0,22.3,36.0,22.3,31.0,22.5
Illinois,93.0,21.4,43.0,23.9,35.0,24.3
Indiana,35.0,22.6,32.0,22.5,29.0,22.5
Iowa,67.0,21.9,68.0,21.8,66.0,21.6
Kansas,73.0,21.7,71.0,21.6,72.0,21.2
Kentucky,100.0,20.0,100.0,20.2,100.0,19.8
Louisiana,100.0,19.5,100.0,19.2,100.0,18.8
Maine,8.0,24.3,7.0,24.0,6.0,24.3
Maine,8.0,24.3,7.0,24.0,6.0,24.3
Maryland,28.0,23.6,31.0,22.5,28.0,22.3
Massachusetts,29.0,25.4,25.0,25.5,21.0,25.5
Michigan,29.0,24.1,22.0,24.2,19.0,24.4
Minnesota,100.0,21.5,99.0,21.3,95.0,21.4
Mississippi,100.0,18.6,100.0,18.6,100.0,18.4
Missouri,100.0,20.4,100.0,20.0,82.0,20.8
Montana,100.0,20.3,100.0,20.0,100.0,19.8
Nebraska,84.0,21.4,100.0,20.1,100.0,20.0
Nevada,100.0,17.8,100.0,17.7,100.0,17.9
New Hampshire,18.0,25.5,16.0,25.1,14.0,25.0
New Jersey,34.0,23.9,31.0,23.7,25.0,24.2
New Mexico,66.0,19.7,67.0,19.4,63.0,19.3
New York,31.0,24.2,27.0,24.5,22.0,24.5
North Carolina,100.0,19.1,100.0,19.1,100.0,19.0
North Dakota,98.0,20.3,98.0,20.3,96.0,19.9
Ohio,75.0,22.0,100.0,20.3,100.0,20.0
Oklahoma,100.0,19.4,100.0,19.3,100.0,18.9
Oregon,40.0,21.8,42.0,21.3,42.0,21.1
Pennsylvania,23.0,23.7,20.0,23.5,17.0,23.6
Rhode Island,21.0,24.0,15.0,24.2,12.0,24.7
South Carolina,100.0,18.7,100.0,18.3,78.0,18.8
South Dakota,80.0,21.8,77.0,21.9,75.0,21.6
Tennessee,100.0,19.8,100.0,19.6,100.0,19.4
Texas,45.0,20.7,45.0,20.7,39.0,20.5
Utah,100.0,20.3,100.0,20.4,100.0,20.3
Vermont,29.0,23.6,24.0,24.1,20.0,24.1
Virginia,29.0,23.8,24.0,23.9,21.0,24.0
Washington,29.0,21.9,24.0,22.2,24.0,22.1
West Virginia,69.0,20.4,65.0,20.3,49.0,20.8
Wisconsin,100.0,20.5,100.0,20.5,100.0,20.3
Wyoming,100.0,20.2,100.0,20.0,100.0,19.8
