state,participation_2017,ebrw_2017,math_2017,total_2017,participation_2018,ebrw_2018,math_2018,total_2018,participation_2019,ebrw_2019,math_2019,total_2019
Alabama,5.0,593,572,1165,6.0,595,571,1166,7.0,583,560,1143
Alaska,38.0,547,533,1080,43.0,562,544,1106,41.0,556,541,1097
Arizona,30.0,563,553,1116,29.0,577,572,1149,31.0,569,565,1134
Arkansas,3.0,614,594,1208,5.0,592,576,1169,6.0,582,559,1141
California,53.0,531,524,1055,60.0,540,536,1076,63.0,534,531,1065
Colorado,11.0,606,595,1201,100.0,519,506,1025,100.0,518,506,1024
Connecticut,100.0,530,512,1041,100.0,535,519,1053,100.0,529,516,1046
Delaware,100.0,503,492,996,100.0,505,492,998,100.0,499,486,985
District of Columbia,100.0,482,468,950,92.0,497,480,977,94.0,495,480,975
Florida,83.0,520,497,1017,56.0,550,549,1099,100.0,516,483,999
Georgia,61.0,535,515,1050,70.0,542,522,1064,71.0,538,519,1058
Hawaii,55.0,544,541,1085,56.0,480,530,1010,54.0,550,550,1100
Idaho,93.0,513,493,1005,100.0,508,493,1001,100.0,505,488,993
Illinois,9.0,559,556,1115,99.0,513,506,1019,100.0,509,504,1013
Indiana,63.0,542,532,1074,63.0,542,532,1074,66.0,543,537,1080
Iowa,2.0,641,635,1275,3.0,634,631,1265,3.0,622,622,1244
Kansas,4.0,632,628,1260,4.0,633,631,1265,4.0,618,623,1241
Kentucky,4.0,631,616,1247,4.0,630,618,1248,4.0,620,612,1232
Louisiana,4.0,611,586,1198,4.0,615,595,1210,5.0,610,591,1200
Maine,95.0,513,499,1012,99.0,512,501,1013,99.0,512,502,1013
Maryland,69.0,536,52,1060,76.0,545,535,1080,82.0,535,523,1058
Massachusetts,76.0,555,551,1107,80.0,562,563,1125,81.0,559,561,1120
Michigan,100.0,509,495,1005,100.0,511,499,1011,100.0,507,496,1003
Minnesota,3.0,644,651,1295,4.0,643,655,1298,4.0,636,648,1284
Mississippi,2.0,634,607,1242,3.0,630,606,1236,3.0,628,608,1237
Missouri,3.0,640,631,1271,4.0,633,629,1262,4.0,622,615,1236
Montana,10.0,605,591,1196,10.0,606,592,1198,9.0,603,596,1199
Nebraska,3.0,629,625,1253,3.0,629,623,1252,3.0,628,631,1260
Nevada,26.0,563,553,1116,23.0,574,566,1140,20.0,580,576,1156
New Hampshire,96.0,532,520,1052,96.0,535,528,1063,95.0,533,526,1059
New Jersey,70.0,530,526,1056,82.0,547,547,1094,82.0,544,545,1090
New Mexico,11.0,577,561,1138,16.0,552,540,1093,18.0,543,530,1073
New York,67.0,528,523,1052,79.0,534,534,1068,79.0,531,533,1064
North Carolina,49.0,546,535,1081,52.0,554,543,1098,51.0,554,546,1100
North Dakota,2.0,635,621,1256,2.0,640,643,1283,2.0,627,636,1263
Ohio,12.0,578,570,1149,18.0,552,547,1099,19.0,550,548,1097
Oklahoma,7.0,530,517,1047,8.0,541,521,1062,22.0,490,472,963
Oregon,43.0,560,548,1108,48.0,564,553,1117,51.0,562,550,1112
Pennsylvania,65.0,540,531,1071,70.0,547,539,1086,70.0,545,537,1082
Rhode Island,71.0,539,524,1062,97.0,513,505,1018,100.0,503,492,995
South Carolina,50.0,543,521,1064,55.0,547,523,1070,68.0,526,504,1030
South Dakota,3.0,612,603,1216,3.0,622,618,1240,3.0,633,635,1268
Tennessee,5.0,623,604,1228,6.0,624,607,1231,7.0,618,602,1220
Texas,62.0,513,507,1020,66.0,520,512,1032,68.0,515,507,1022
Utah,3.0,624,614,1238,4.0,480,530,1010,4.0,614,615,1230
Vermont,60.0,562,551,1114,64.0,565,554,1120,66.0,560,546,1106
Virginia,65.0,561,541,1102,68.0,567,550,1117,68.0,567,551,1119
Washington,64.0,541,534,1075,69.0,543,538,1081,70.0,539,535,1074
West Virginia,14.0,558,528,1086,28.0,513,486,999,99.0,483,460,943
Wisconsin,3.0,642,649,1291,3.0,641,653,1294,3.0,635,648,1283
Wyoming,3.0,626,604,1230,3.0,633,625,1257,3.0,623,615,1238
