Features,Data Set,Description
state,SAT,Name of State in USA
participation_2017,SAT,%Participation in 2017
ebrw_2017,SAT,SAT Score of EBRW in 2017
math_2017,SAT,SAT Score of Math in 2017
total_2017,SAT,SAT Score of Total in 2017
year_2017,SAT,Year 2017
participation_2018,SAT,%Participation in 2018
ebrw_2018,SAT,SAT Score of EBRW in 2018
math_2018,SAT,SAT Score of Math in 2018
total_2018,SAT,SAT Score of Total in 2018
year_2018,SAT,Year 2018
participation_2019,SAT,%Participation in 2019
ebrw_2019,SAT,SAT Score of EBRW in 2019
math_2019,SAT,SAT Score of Math in 2019
total_2019,SAT,SAT Score of Total in 2019
year_2019,SAT,Year 2019
%change,SAT,The different value of %participation between 2017 and 2019
CName,SAT,City Name in State
Enroll12,SAT,Enrollment of Grade 12
NumTSTTakr12,SAT,Number of Test Takers Grade 12
NumERWBenchmark12,SAT,The number meeting the Evidence-Based Reading & Writing (ERW) test for Grade 12.
PctERWBenchmark12,SAT,The percent of students who met or exceeded the benchmark for Evidence-Based Reading & Writing (ERW) test for Grade 12.
NumMathBenchmark12,SAT,The number of students who met or exceeded the benchmark for the New SAT Math test for Grade 12.
PctMathBenchmark12,SAT,The percent of students who met or exceeded the benchmark for SAT Math test for Grade 12.
Enroll11,SAT,Enrollment of Grade 11
NumTSTTakr11,SAT,Number of Test Takers Grade 11
NumERWBenchmark11,SAT,The number meeting the Evidence-Based Reading & Writing (ERW) test for Grade 11.
PctERWBenchmark11,SAT,The percent of students who met or exceeded the benchmark for Evidence-Based Reading & Writing (ERW) test for Grade 11.
NumMathBenchmark11,SAT,The number of students who met or exceeded the benchmark for the New SAT Math test for Grade 11.
PctMathBenchmark11,SAT,The percent of students who met or exceeded the benchmark for SAT Math test for Grade 11.
TotNumBothBenchmark12,SAT,The total number of students who met the benchmark of both Evidence-Based Reading & Writing (ERW) and Math Grade 12.
PctBothBenchmark12,SAT,The percent of students who met the benchmark of both Evidence-Based Reading & Writing (ERW) and Math Grade 12.
TotNumBothBenchmark11,SAT,The total number of students who met the benchmark of both Evidence-Based Reading & Writing (ERW) and Math Grade 11.
PctBothBenchmark11,SAT,The percent of students who met the benchmark of both Evidence-Based Reading & Writing (ERW) and Math Grade 11.
participation_2017,ACT,%Participation in 2017
composite_2017,ACT,ACT Score of total subject in 2017
participation_2018,ACT,%Participation in 2018
composite_2018,ACT,ACT Score of total subject in 2018
participation_2019,ACT,%Participation in 2019
composite_2019,ACT,ACT Score of total subject in 2019
%change,ACT,The different value of %participation between 2017 and 2019
Enroll12,ACT,Enrollment of Grade 12
NumTstTakr,ACT,Number of Test Takers
AvgScrRead,ACT,Average ACT Reading Score
AvgScrEng,ACT,Average ACT  English Score
AvgScrMath,ACT,Average ACT Math Score
AvgScrSci,ACT,Average ACT Science Score
NumGE21,ACT,Number of Test Takers Whose ACT Composite Scores Are Greater or Equal to 21.  
PctGE21,ACT,Percent of Test Takers Whose ACT Composite Scores Are Greater or Equal to 21.
Pct_TestTaker,ACT,Percent of Test Takers
Different,ACT,The different value between number of Enrollment and Test Takers.
